Timestamp,QueueOccupancy,TotalPackets,TotalBytes,AggregateThroughput,Flow1_Throughput,Flow1_Delay,Flow1_DropRate,Flow2_Throughput,Flow2_Delay,Flow2_DropRate,Flow3_Throughput,Flow3_Delay,Flow3_DropRate
0.000,5,6,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.101,38,179,108185,1076467.512,432268.596,1.213,0.000,468736.253,1.646,0.000,175462.662,13.572,0.000
0.201,99,353,203363,1013690.951,455615.858,1.365,0.000,433145.110,2.087,0.000,124929.984,13.456,0.000
0.301,197,527,265723,883410.502,460926.161,1.832,0.000,339161.041,7.192,0.000,83323.301,8.996,0.000
0.401,286,699,326555,814496.073,446824.881,1.868,0.000,305158.859,18.605,0.000,62512.334,6.786,0.000
0.501,382,875,387778,773861.289,450006.512,2.021,0.000,273838.310,28.084,0.000,50016.467,5.410,0.000
0.601,400,965,448360,745752.390,437689.589,2.107,0.043,266375.781,48.073,0.095,41687.020,5.014,0.100
0.701,399,1032,510749,728223.284,417064.949,2.172,0.100,275423.639,76.166,0.192,35734.696,4.686,0.174
0.802,400,1107,571941,713348.966,396203.954,2.199,0.150,285885.380,112.135,0.256,31259.632,4.313,0.215
0.902,399,1185,632847,701667.444,362899.665,2.201,0.220,310979.243,151.428,0.297,27788.535,3.840,0.215
1.002,400,1269,693866,692440.318,336524.122,2.201,0.272,321695.653,141.763,0.300,34220.543,22.410,0.241
1.102,399,1349,755960,685844.594,334547.473,2.205,0.274,314392.011,131.702,0.313,36905.109,39.755,0.299
1.202,399,1427,817382,679795.376,316191.652,2.221,0.314,305637.708,123.952,0.330,57966.016,114.944,0.306
1.303,400,1505,877194,673452.929,309724.441,2.230,0.328,293148.265,118.987,0.355,70580.223,167.529,0.321
1.403,400,1588,939806,670024.450,301290.205,2.224,0.345,290420.736,110.975,0.358,78313.509,209.983,0.342
1.503,400,1658,998192,664243.304,293659.514,2.235,0.361,283007.713,107.391,0.378,87576.078,257.119,0.353
1.603,400,1744,1061960,662547.125,287258.687,2.231,0.371,276661.901,103.474,0.394,98626.537,315.752,0.354
1.703,399,1816,1123039,659436.794,284377.673,2.243,0.378,269819.482,100.188,0.411,105239.639,354.840,0.368
1.803,399,1893,1184433,656865.262,286607.440,2.244,0.372,265234.403,96.833,0.423,105023.418,378.943,0.389
1.903,400,1971,1246008,654656.459,291787.337,2.245,0.363,257179.036,94.785,0.441,105690.087,405.789,0.405
2.003,400,2052,1305921,651843.786,293744.268,2.233,0.355,248251.705,93.356,0.460,109847.813,443.818,0.414
2.104,400,2135,1368509,650568.733,288052.446,2.235,0.366,252033.947,87.577,0.450,110482.340,470.940,0.428
2.204,398,2214,1430363,649073.006,290260.759,2.234,0.359,247870.712,85.178,0.460,110941.535,498.009,0.443
2.304,399,2295,1491706,647482.251,286276.548,2.246,0.370,251671.089,80.181,0.449,109534.614,513.836,0.457
2.404,400,2376,1551942,645574.082,278586.442,2.245,0.385,254637.328,75.685,0.439,112350.311,548.365,0.464
2.504,400,2452,1613337,644281.535,271359.983,2.248,0.402,258425.928,71.957,0.433,114495.624,580.167,0.470
2.604,399,2533,1675270,643291.965,268148.461,2.254,0.409,254898.398,70.150,0.440,120245.106,627.779,0.468
2.705,400,2611,1735873,641782.232,263613.592,2.253,0.418,253991.330,67.739,0.441,124177.310,663.864,0.470
2.805,400,2693,1797612,640883.877,259958.035,2.249,0.421,250748.778,66.358,0.449,130177.064,704.986,0.468
2.905,399,2768,1859308,640027.021,262233.016,2.258,0.418,248175.064,64.920,0.456,129618.941,722.664,0.476
3.005,400,2850,1919326,638673.277,264127.903,2.252,0.412,242526.843,64.324,0.469,132018.530,751.662,0.478
3.105,399,2931,1981556,638120.572,264729.631,2.260,0.413,238798.161,63.155,0.476,134592.780,784.058,0.477
3.205,400,3015,2042574,637224.622,263730.618,2.257,0.414,239022.485,60.943,0.473,134471.518,802.915,0.484
3.306,400,3085,2104146,636548.606,263846.820,2.269,0.417,235042.574,60.307,0.483,137659.211,828.779,0.484
3.406,400,3157,2164581,635582.247,257445.956,2.266,0.430,234703.563,58.955,0.486,143432.728,865.023,0.479
3.506,400,3233,2225882,634905.888,255641.893,2.266,0.435,233395.049,57.604,0.488,145868.946,885.994,0.480
3.606,400,3311,2287491,634357.680,253735.751,2.267,0.439,234764.291,55.829,0.486,145857.638,899.137,0.486
3.706,400,3382,2349138,633855.304,251717.244,2.280,0.445,237669.364,54.020,0.483,144468.697,907.226,0.493
3.806,400,3462,2409877,633137.368,251752.470,2.280,0.445,236392.194,52.764,0.483,144992.705,919.813,0.498
3.906,400,3545,2470689,632474.935,250371.541,2.287,0.448,234573.293,51.691,0.485,147530.101,938.991,0.496
4.007,399,3624,2533377,632314.016,247113.127,2.292,0.455,237327.570,49.929,0.480,147873.319,951.010,0.499
4.107,400,3700,2594282,631725.575,243275.084,2.291,0.463,240045.452,48.417,0.476,148405.038,960.718,0.502
4.207,400,3773,2654870,631093.162,242584.836,2.295,0.465,239025.106,47.627,0.479,149483.220,972.672,0.503
4.307,400,3844,2716111,630639.968,238993.957,2.297,0.473,239049.914,46.697,0.480,152596.097,988.528,0.502
4.407,398,3922,2778562,630485.077,238241.345,2.301,0.476,237679.515,45.797,0.482,154564.217,1002.255,0.502
4.507,400,4005,2838494,629774.721,237563.464,2.300,0.476,236080.933,45.125,0.485,156130.325,1014.844,0.502
4.607,400,4080,2900526,629550.547,240054.664,2.301,0.471,232800.735,44.851,0.493,156695.148,1023.164,0.504
4.707,400,4159,2961286,629067.933,237255.305,2.306,0.477,231448.513,44.146,0.495,160364.116,1038.094,0.499
4.808,400,4230,3022040,628601.803,234575.404,2.313,0.484,233102.099,42.929,0.491,160924.300,1044.987,0.503
4.908,399,4304,3084312,628466.590,235574.720,2.315,0.482,231866.857,42.405,0.494,161025.013,1051.671,0.506
5.008,400,4380,3145703,628160.878,238203.482,2.316,0.477,231236.548,41.770,0.496,158720.848,1053.962,0.514
5.108,399,4453,3207237,627896.555,237274.500,2.318,0.479,229178.424,41.404,0.501,161443.631,1067.709,0.511
5.208,400,4528,3268514,627582.586,237324.662,2.320,0.479,226501.525,41.121,0.507,163756.399,1079.881,0.510
5.308,400,4613,3329577,627221.283,239532.520,2.320,0.474,223605.668,40.744,0.511,164083.095,1088.762,0.511
5.409,399,4691,3390876,626944.883,239616.336,2.322,0.475,224091.349,39.889,0.509,163237.198,1092.515,0.515
5.509,400,4770,3451754,626601.262,236653.594,2.323,0.482,226197.756,38.807,0.504,163749.912,1099.778,0.516
5.609,399,4849,3513340,626396.590,235984.067,2.320,0.483,226980.911,37.944,0.500,163431.612,1106.202,0.521
