Timestamp,QueueOccupancy,TotalPackets,TotalBytes,AggregateThroughput,Flow1_Throughput,Flow1_Delay,Flow1_DropRate,Flow2_Throughput,Flow2_Delay,Flow2_DropRate,Flow3_Throughput,Flow3_Delay,Flow3_DropRate
0.003,9,10,488,166794.782,0.000,0.000,0.000,166794.782,1.063,0.000,0.000,0.000,0.000
0.104,106,239,109851,1056806.045,334172.787,14.394,0.000,363024.243,14.784,0.000,359609.016,14.052,0.000
0.204,188,466,214569,1051315.844,345656.543,27.429,0.000,343260.608,27.590,0.000,362398.693,27.382,0.000
0.304,278,691,320685,1053898.295,348272.660,38.362,0.000,347694.254,38.498,0.000,357931.381,38.282,0.000
0.404,361,918,426855,1055504.894,344285.665,51.462,0.000,359317.500,51.420,0.000,351901.729,51.154,0.000
0.505,474,1144,511475,1013752.590,328055.670,59.006,0.000,348811.361,59.575,0.000,336885.559,59.348,0.000
0.605,500,1266,592518,979871.747,319638.511,69.761,0.055,335795.567,72.252,0.079,324437.669,73.330,0.094
0.705,500,1387,674613,957146.627,316780.201,88.983,0.115,332426.821,88.907,0.114,307939.606,94.425,0.167
0.805,499,1491,756935,940333.074,313096.931,104.781,0.153,324420.407,107.082,0.173,302815.735,113.608,0.222
0.905,500,1589,837736,925595.565,308816.545,121.453,0.196,317427.959,121.260,0.192,299351.060,136.020,0.285
1.005,498,1693,920752,915989.805,303357.854,147.061,0.247,314794.396,132.824,0.192,297837.554,162.498,0.328
1.105,499,1796,1002307,906810.342,304606.712,176.456,0.294,315562.005,147.676,0.200,286641.625,174.260,0.352
1.205,499,1895,1083725,899052.728,301541.153,193.088,0.319,319560.783,167.043,0.213,277950.792,188.589,0.382
1.305,500,1997,1165934,893099.796,303370.084,215.006,0.335,313138.054,179.119,0.242,276591.659,201.838,0.396
1.406,500,2098,1247105,887251.353,301630.101,230.602,0.352,320742.462,206.062,0.270,264878.791,198.976,0.400
1.506,500,2198,1329820,883187.884,293537.670,235.118,0.370,331849.303,230.388,0.282,257800.911,206.992,0.416
1.606,499,2298,1410784,878549.865,284221.702,236.672,0.385,338353.890,252.809,0.297,255974.272,218.006,0.423
1.706,499,2402,1493124,875244.401,284968.923,251.600,0.403,339667.449,268.888,0.310,250608.029,220.202,0.422
1.806,500,2506,1575032,872063.489,284562.100,265.829,0.416,335562.659,274.959,0.319,251938.730,231.069,0.428
1.906,500,2603,1656685,869106.901,282926.314,278.897,0.437,329791.467,272.328,0.314,256389.119,249.048,0.440
2.006,499,2699,1738714,866627.020,279893.302,283.738,0.442,330919.065,282.549,0.324,255814.653,258.203,0.451
2.106,500,2809,1820495,864262.431,278852.511,288.302,0.440,330821.388,294.307,0.339,254588.532,266.607,0.454
2.207,500,2914,1901635,861826.292,274971.730,291.261,0.445,325693.734,302.169,0.355,261160.828,278.570,0.450
2.307,499,3012,1983616,859959.616,269742.305,292.271,0.451,327838.967,316.335,0.371,262378.343,282.546,0.447
2.407,498,3122,2065901,858374.469,264624.268,292.151,0.456,332432.037,329.459,0.371,261318.163,288.700,0.453
2.507,500,3215,2146253,856152.760,266211.378,301.686,0.463,331592.038,336.345,0.383,258349.344,287.060,0.453
2.607,500,3315,2228756,854925.727,268833.956,308.742,0.463,325806.091,339.161,0.394,260285.680,294.153,0.457
2.707,499,3413,2310882,853642.348,267733.420,313.882,0.468,319861.455,337.333,0.398,266047.473,307.829,0.464
2.807,499,3515,2392632,852316.038,268078.770,317.251,0.467,314081.348,334.064,0.399,270155.920,324.427,0.474
2.904,499,3623,2476510,852834.108,266940.303,317.888,0.465,316216.800,342.313,0.402,269677.006,330.927,0.482
3.004,498,3767,2587176,861250.314,271647.900,318.521,0.452,313539.701,344.372,0.403,276062.714,345.860,0.487
3.104,498,3908,2696138,868579.893,275441.710,316.962,0.440,315592.144,348.368,0.404,277546.039,353.499,0.491
3.204,500,4041,2798971,873520.955,280919.011,320.193,0.434,318174.956,355.109,0.411,274426.988,346.685,0.486
3.304,500,4173,2903146,878549.778,285085.203,320.977,0.427,319375.368,360.291,0.418,274089.206,342.792,0.484
3.405,500,4271,2985130,876798.693,287460.546,322.767,0.425,318063.159,363.752,0.428,271274.988,340.526,0.487
3.505,499,4373,3066803,875066.202,291106.175,330.567,0.430,316134.048,367.187,0.435,267825.979,333.866,0.483
